user_name,broker,series_id,qty_open,position_eur,asset_rollup,underlying_symbol,optie_call_put,strike,expiry,ib_currency,exchange_code,trading_class,multiplier,conid,local_symbol,last_verified_ts
onno,lynx,101,-100.0,80.0,SLV,SLV,put,75.0,2026-03-16,USD,SMART,SLV,100.0,859571175,SLV   260316P00075000,2026-03-14 17:59:39
onno,interactive,64,-300.0,267.0,SLV,SLV,put,72.0,2026-03-18,USD,SMART,SLV,100.0,860175896,SLV   260318P00072000,2026-03-14 17:59:40
onno,lynx,102,-100.0,193.0,SLV,SLV,put,75.0,2026-03-18,USD,SMART,SLV,100.0,860175943,SLV   260318P00075000,2026-03-14 17:59:40
onno,interactive,65,-100.0,343.0,SLV,SLV,put,77.0,2026-03-20,USD,SMART,SLV,100.0,835962512,SLV   260320P00077000,2026-03-14 17:59:40
onno,interactive,66,-100.0,473.0,SLV,SLV,put,79.0,2026-03-20,USD,SMART,SLV,100.0,835962557,SLV   260320P00079000,2026-03-14 17:59:41
onno,lynx,103,-200.0,106.0,SMR,SMR,call,12.0,2026-03-20,USD,SMART,SMR,100.0,831189298,SMR   260320C00012000,2026-03-14 17:59:41
onno,interactive,67,-100.0,36.0,SMR,SMR,call,12.5,2026-03-20,USD,SMART,SMR,100.0,857349973,SMR   260320C00012500,2026-03-14 17:59:41
onno,interactive,68,-100.0,310.0,SMR,SMR,put,15.0,2026-03-20,USD,SMART,SMR,100.0,829887570,SMR   260320P00015000,2026-03-14 17:59:42
onno,lynx,104,-200.0,684.0,SMR,SMR,put,16.0,2026-03-20,USD,SMART,SMR,100.0,809021091,SMR   260320P00016000,2026-03-14 17:59:42
onno,interactive,69,-100.0,664.0,SNOW,SNOW,put,180.0,2026-03-20,USD,SMART,SNOW,100.0,744475618,SNOW  260320P00180000,2026-03-14 17:59:42
onno,degiro,26,-100.0,108.0,TOTAL,TTE,put,64.0,2026-03-20,EUR,EUREX,TOTB,100.0,771175330,P TOTB 20260320 64 M,2026-03-14 17:59:43
onno,lynx,105,-100.0,166.0,UBER,UBER,put,74.0,2026-03-20,USD,SMART,UBER,100.0,857395781,UBER  260320P00074000,2026-03-14 17:59:43
onno,interactive,70,-100.0,270.0,UNH,UNH,call,287.5,2026-03-20,USD,SMART,UNH,100.0,857401058,UNH   260320C00287500,2026-03-14 17:59:43
onno,lynx,106,-100.0,205.0,UNH,UNH,call,290.0,2026-03-20,USD,SMART,UNH,100.0,757009670,UNH   260320C00290000,2026-03-14 17:59:44
onno,lynx,107,-100.0,174.0,UNILEVER,UNVB,call,60.0,2026-03-20,EUR,FTA,UN,100.0,770626858,UN C@60 MAR26,2026-03-14 17:59:44
onno,degiro,27,-900.0,1231.0,UNILEVER,UNVB,call,62.0,2026-03-20,EUR,FTA,UN,100.0,840492976,UL C@62 MAR26,2026-03-14 17:59:44
onno,degiro,28,-800.0,1152.0,UNILEVER,UNVB,put,57.5,2026-03-20,EUR,FTA,UN,100.0,861501367,UL P@57.5 MAR26,2026-03-14 17:59:45
onno,interactive,71,-100.0,96.0,UPS,UPS,call,100.0,2026-03-20,USD,SMART,UPS,100.0,757000095,UPS   260320C00100000,2026-03-14 17:59:45
onno,degiro,29,-200.0,798.0,URW,URW,call,98.0,2026-03-20,EUR,EUREX,UBL,100.0,841097312,C UBL  20260320 98 M,2026-03-14 17:59:45
onno,interactive,72,-100.0,68.0,UVXY,UVXY,put,44.0,2026-03-20,USD,SMART,UVXY,100.0,843632115,UVXY  260320P00044000,2026-03-14 17:59:46
onno,lynx,108,-100.0,710.0,VERNOVA,GEV,put,750.0,2026-03-20,USD,NYSE,GEV,100.0,846363125,GEV   260320P00750000,2026-03-14 17:59:46
onno,lynx,109,-200.0,250.0,VOLKSWAGEN,VOW,call,95.0,2026-03-20,EUR,EUREX,VOW,100.0,841105928,C VOW  20260320 95 M,2026-03-14 17:59:47
onno,lynx,110,-200.0,1348.0,VOLKSWAGEN,VOW,put,110.0,2026-03-20,EUR,EUREX,VOW,100.0,771185524,P VOW  20260320 110 M,2026-03-14 17:59:47
onno,interactive,73,-300.0,876.0,VZ,VZ,call,49.0,2026-04-17,USD,SMART,VZ,100.0,807269860,VZ    260417C00049000,2026-03-14 17:59:47
onno,degiro,30,-100.0,200.0,WKL,WKL,call,68.0,2026-03-20,EUR,FTA,WKL,100.0,840494624,WKL C@68 MAR26,2026-03-14 17:59:47
onno,lynx,30,-100.0,201.0,WKL,WKL,call,68.0,2026-03-20,EUR,FTA,WKL,100.0,840494624,WKL C@68 MAR26,2026-03-14 17:59:47
onno,interactive,74,-1000.0,3500.0,XND,XND,put,222.0,2026-03-20,USD,SMART,XND,100.0,780010893,XND   260320P00222000,2026-03-14 17:59:48
onno,interactive,75,1000.0,-6300.0,XND,XND,put,240.0,2026-03-20,USD,SMART,XND,100.0,770835725,XND   260320P00240000,2026-03-14 17:59:48
onno,interactive,76,-100.0,756.0,XSP,XSP,put,600.0,2026-03-20,USD,SMART,XSP,100.0,753834137,XSP   260320P00600000,2026-03-14 17:59:48
onno,interactive,77,100.0,-1236.0,XSP,XSP,put,640.0,2026-03-20,USD,SMART,XSP,100.0,753834304,XSP   260320P00640000,2026-03-14 17:59:49
